model,configuration,validation_mae,validation_rmse,test_mae,test_rmse,selected,training_seconds
Naive,persistence,84.61831521599287,109.5950261850092,75.09262485375143,96.8669619691886,False,0.0
Seasonal Naive,season_length=96,15.552859711658089,27.44407516710242,15.326553941829356,24.723412774018072,False,0.0
Ridge,alpha=0.1,26.064851179724247,34.24014368809936,24.380781389541628,31.95261645765832,False,0.6900750000495464
LightGBM,small,13.779313778925223,21.95784609135744,18.09180027339589,26.73778331148012,True,23.70921450003516
GRU,"context_steps=96, hidden_size=64, num_layers=1, batch_size=256, epochs=15, learning_rate=0.001, patience=3, seed=42",14.795167604220751,22.203478648124364,18.554812917598696,27.36759875410101,False,38.22025829995982
