epoch,train_mse,validation_mae
1,0.31369388487160965,21.45023441061577
2,0.09805789289662764,18.261551917083125
3,0.08632698839286806,17.58886236130548
4,0.08054290877941575,17.035162836725945
5,0.07744205888484981,16.838736417053482
6,0.07425863300021115,16.393881210001787
7,0.0720261765707292,16.1071366317421
8,0.06995932131138277,15.983736546170961
9,0.06834531048392696,15.441100187179137
10,0.06685600998976154,15.767238802650736
11,0.06621003189337941,15.377681993312603
12,0.06465485918215062,15.209791831743583
13,0.06367651022821343,15.133215753217673
14,0.06330377174343738,15.08400928704334
15,0.06185338201273722,14.795167604220751
