epoch,train_mse,validation_mae
1,0.17588850603018072,16.419847980587953
2,0.06826544182335571,14.090010132458179
3,0.05184804956393763,12.466926183312454
4,0.0456298962162525,12.439995271733157
5,0.0414591420192703,12.42758466860318
6,0.039460113204614566,11.940470476845116
7,0.038607059436171126,11.882134469185445
8,0.03798479656483765,11.448323668641963
9,0.03724824539879504,11.671127354134123
10,0.03675923505478932,11.540235067440822
11,0.036424096926536295,11.305774372589955
12,0.036067782908823905,11.588187908575405
13,0.03574592693667816,11.572816956277876
14,0.03563221611848274,11.384978201675633
