model,configuration,validation_mae,validation_rmse,test_mae,test_rmse,selected,training_seconds
Naive,persistence,18.05187033584537,29.238591245916304,16.970033328909896,27.091910206668164,False,0.0
Seasonal Naive,season_length=96,15.562355660219406,27.42894718936415,15.395149735833217,24.91265717165408,False,0.0
Ridge,alpha=0.1,17.450013346322844,24.60719512000073,16.24129202168342,22.75976637262107,False,0.4244160000234842
LightGBM,medium,10.982307688373242,16.248321427789854,12.691338758178825,18.213296239836357,True,4.570411099935882
GRU,"context_steps=96, hidden_size=64, num_layers=1, batch_size=256, epochs=15, learning_rate=0.001, patience=3, seed=42",11.305774372589955,16.512298463261455,11.957508316067242,17.102751996127676,False,35.38106499996502
