scenario,scenario_kind,forecast_origin,horizon,horizon_steps,selected_model,affected_points,imputed_points,mae,rmse,mape,clean_mae,mae_delta,mae_degradation_pct
clean,clean,2014-12-31T00:00:00,24h,96,LightGBM,0,0,42.52703124931674,62.05659487604746,23.823948785467152,42.52703124931674,0.0,0.0
sensor_noise_5pct,sensor_noise,2014-12-31T00:00:00,24h,96,LightGBM,140160,0,44.01498815774204,63.22789922321145,24.423034730841366,42.52703124931674,1.4879569084252964,3.498849707382766
missing_blocks_1pct,missing_blocks,2014-12-31T00:00:00,24h,96,LightGBM,1391,1391,42.35740265324849,61.89263971055552,23.636849208480783,42.52703124931674,-0.1696285960682502,-0.3988724138155671
spikes_1pct,spikes,2014-12-31T00:00:00,24h,96,LightGBM,1402,0,42.13282190603402,62.28908109685865,23.58942670698344,42.52703124931674,-0.39420934328272494,-0.9269618209925211
distribution_shift_10pct,distribution_shift,2014-12-31T00:00:00,24h,96,LightGBM,28032,0,40.91634923435587,65.3244872009045,26.995363765027097,42.52703124931674,-1.6106820149608723,-3.787431117677066
