horizon,model,forecast_step,lead_minutes,MAE,RMSE,MAPE
24h,Naive,58,870,109.14030677483052,123.10002432753924,64.89624967857685
24h,Naive,59,885,107.53541089764825,121.9890224546665,63.98559724871959
24h,Naive,60,900,106.00917286740021,120.90378242819939,63.12341172528328
24h,Naive,61,915,104.60892463300176,119.88086640269876,62.33973778227727
24h,Naive,62,930,103.22816399991913,118.88477219729587,61.541757435525724
24h,Naive,63,945,101.81974503392054,117.79847159493725,60.71738463252999
24h,Naive,64,960,100.13895077172656,116.48855134269735,59.756340376126396
24h,Naive,65,975,98.15979408320975,114.97327459670737,58.636848435514224
24h,Naive,66,990,96.01946079762506,113.21955929146257,57.35584379454801
24h,Naive,67,1005,93.678506281584,111.31350754933956,55.93956462913998
24h,Naive,68,1020,91.22356431084194,109.27598846016808,54.53974958687371
24h,Naive,69,1035,88.65455579254117,107.13146233862936,52.93337791147539
24h,Naive,70,1050,85.95904557183987,104.86680309037604,51.24568670374837
24h,Naive,71,1065,83.26866247240169,102.57903145594362,49.706320558295545
24h,Naive,72,1080,80.62692148041909,100.25158622541535,48.05086579540175
24h,Naive,73,1095,77.95024854198172,97.87216494256917,46.49184420037529
24h,Naive,74,1110,75.27087472892386,95.40305795002371,44.85415910644027
24h,Naive,75,1125,72.57138276871284,92.94044671301735,43.104717963880894
24h,Naive,76,1140,69.77164354079389,90.31361283734077,41.34498178812602
24h,Naive,77,1155,66.98168765996162,87.60481157309256,39.67830512018837
24h,Naive,78,1170,64.17300434805661,84.77063882914223,37.84172460145167
24h,Naive,79,1185,61.38188331225654,81.88114756537614,36.01234157854993
24h,Naive,80,1200,58.51127322217563,78.90981988417096,34.25743127561524
24h,Naive,81,1215,55.76062209754842,75.89654609205579,32.50996567342217
24h,Naive,82,1230,52.9444718340081,72.71003917223221,30.768260839433896
24h,Naive,83,1245,50.09496708711842,69.47842887540146,29.106674900719852
24h,Naive,84,1260,47.128954899202,66.1026737098507,27.254604926339226
24h,Naive,85,1275,44.326892684760175,62.71898988234542,25.68243326413901
24h,Naive,86,1290,41.44768564045733,59.22311456753328,23.975978589514682
24h,Naive,87,1305,38.61116530436542,55.889725828278415,22.364872927755556
24h,Naive,88,1320,35.698572286038434,52.44613317378786,20.6927983930947
24h,Naive,89,1335,32.93984050778785,49.12320493431197,19.268828603354176
24h,Naive,90,1350,30.336667536688097,45.65327394572821,17.759430602766145
24h,Naive,91,1365,27.75777021415709,42.18814074860617,16.371409384169326
24h,Naive,92,1380,25.024819045794473,38.406943340091416,14.895588747517921
24h,Naive,93,1395,22.482845637984955,34.643245617839824,13.547763591978859
24h,Naive,94,1410,19.735228603258218,30.475299188160108,12.039466322012865
24h,Naive,95,1425,17.26139515699786,27.017289495416783,10.575791854161565
24h,Naive,96,1440,15.41733053403205,24.94997262913236,9.461366661283712
24h,Seasonal Naive,1,15,15.293668851094225,24.663760002448683,9.383933139541082
24h,Seasonal Naive,2,30,15.293742817562954,24.663766924972247,9.384049083308712
24h,Seasonal Naive,3,45,15.293521650498043,24.663691143032544,9.384114747770056
24h,Seasonal Naive,4,60,15.293080781050762,24.663498681854172,9.384116395918811
24h,Seasonal Naive,5,75,15.293226516964397,24.66355319477593,9.384493260793072
24h,Seasonal Naive,6,90,15.292834714382511,24.663414923765348,9.384459450162758
24h,Seasonal Naive,7,105,15.293127650892334,24.66346957418125,9.384789646603254
24h,Seasonal Naive,8,120,15.292395309617785,24.663241863316085,9.3844633831861
24h,Seasonal Naive,9,135,15.292175607235421,24.663221369235096,9.384341295098398
24h,Seasonal Naive,10,150,15.291370031833413,24.66284514042462,9.383843326386717
24h,Seasonal Naive,11,165,15.291149597109776,24.662824509156792,9.3836597715466
24h,Seasonal Naive,12,180,15.291222831237231,24.662840494798647,9.383764624436818
24h,Seasonal Naive,13,195,15.290783426472503,24.662676265745116,9.383396669586377
24h,Seasonal Naive,14,210,15.290784158813777,24.66267631151626,9.383404480389004
24h,Seasonal Naive,15,225,15.290711657027597,24.662660508169527,9.383360692197874
24h,Seasonal Naive,16,240,15.290491954645232,24.662612550862875,9.383189977143573
24h,Seasonal Naive,17,255,15.290272984604139,24.66257843895152,9.382997115958483
24h,Seasonal Naive,18,270,15.290346218731596,24.662585270491824,9.383094530870856
24h,Seasonal Naive,19,285,15.290492686986507,24.662594379209295,9.38325292745769
24h,Seasonal Naive,20,300,15.290786355837598,24.662649259388566,9.383578972366657
24h,Seasonal Naive,21,315,15.290566653455233,24.662628764815135,9.383359606435109
24h,Seasonal Naive,22,330,15.29020048281796,24.662526291692526,9.383037553898548
24h,Seasonal Naive,23,345,15.29027444928669,24.662537814474835,9.383124820666406
24h,Seasonal Naive,24,360,15.290054746904325,24.662503656688642,9.38294266453921
24h,Seasonal Naive,25,375,15.291374425881063,24.663571362079733,9.383625034332645
24h,Seasonal Naive,26,390,15.294159519748174,24.667037623827355,9.385007227827193
24h,Seasonal Naive,27,405,15.295478466383637,24.66785811233532,9.385845065648772
24h,Seasonal Naive,28,420,15.29606507174455,24.668113601732003,9.386187128199255
24h,Seasonal Naive,29,435,15.297457252507467,24.669629635551154,9.386752192328442
24h,Seasonal Naive,30,450,15.298263560250746,24.670055980547577,9.387179477907235
24h,Seasonal Naive,31,465,15.298702965015476,24.670165251835204,9.387395448739436
24h,Seasonal Naive,32,480,15.298923399739117,24.67019958135914,9.387505439584569
24h,Seasonal Naive,33,495,15.30024234637458,24.671101960546086,9.388108009877621
24h,Seasonal Naive,34,510,15.301121888245312,24.671484983801783,9.388505972778958
24h,Seasonal Naive,35,525,15.30141628943768,24.671594978102284,9.388463731072589
24h,Seasonal Naive,36,540,15.301710690630049,24.671686670147714,9.388459155881389
24h,Seasonal Naive,37,555,15.301417754120228,24.671613827168674,9.38808688717646
24h,Seasonal Naive,38,570,15.302373459483517,24.672239137306512,9.388248546846514
24h,Seasonal Naive,39,585,15.304356639654996,24.674772489320734,9.388574637095896
24h,Seasonal Naive,40,600,15.30553131505937,24.67550482739041,9.388890356531721
24h,Seasonal Naive,41,615,15.305972184506652,24.675587309950156,9.389032790940139
24h,Seasonal Naive,42,630,15.307367294634668,24.676760967318206,9.3893890463044
24h,Seasonal Naive,43,645,15.307882130550675,24.676969438328996,9.389477260879627
24h,Seasonal Naive,44,660,15.308400628173057,24.67785725059542,9.389217293202265
24h,Seasonal Naive,45,675,15.309283099408887,24.67868184748378,9.38930780364883
24h,Seasonal Naive,46,690,15.308039583924703,24.67663068242583,9.388280691065383
24h,Seasonal Naive,47,705,15.307820613883612,24.676569370271306,9.388107446097385
24h,Seasonal Naive,48,720,15.308996021629264,24.67730174627614,9.388426602273537
24h,Seasonal Naive,49,735,15.31075949941838,24.679278915594,9.388834446584408
24h,Seasonal Naive,50,750,15.313624418484416,24.682939270535414,9.389665968747913
24h,Seasonal Naive,51,765,15.31751754469992,24.691305523267722,9.39061201507886
24h,Seasonal Naive,52,780,15.319354256616489,24.693078425625632,9.391150060035361
24h,Seasonal Naive,53,795,15.321557871511606,24.695548147432206,9.391786782512948
24h,Seasonal Naive,54,810,15.322343673699198,24.69675477337367,9.391937322275139
24h,Seasonal Naive,55,825,15.325721963998694,24.70180314086303,9.392897453364869
24h,Seasonal Naive,56,840,15.32658100031374,24.70298801214476,9.393024308672855
24h,Seasonal Naive,57,855,15.326044194159497,24.702798870164646,9.392783659428321
24h,Seasonal Naive,58,870,15.326755297537082,24.70351432418696,9.392973510115166
24h,Seasonal Naive,59,885,15.327343367580545,24.703697425748683,9.393175071480803
24h,Seasonal Naive,60,900,15.326977929284547,24.703617902662998,9.393021291135048
24h,Seasonal Naive,61,915,15.32785893583783,24.704111546652157,9.393306747339384
24h,Seasonal Naive,62,930,15.329329477117124,24.70603329091483,9.393655073530992
24h,Seasonal Naive,63,945,15.330480717600715,24.707549808623295,9.393901107055994
24h,Seasonal Naive,64,960,15.331434958281452,24.708114018491308,9.39418165265578
24h,Seasonal Naive,65,975,15.333858275558935,24.711055425051615,9.394903618278667
24h,Seasonal Naive,66,990,15.335547786879317,24.712895177635904,9.39539401684781
24h,Seasonal Naive,67,1005,15.33518088390077,24.712815365535874,9.39522808310489
24h,Seasonal Naive,68,1020,15.33515818132126,24.712802424034596,9.395171915860713
24h,Seasonal Naive,69,1035,15.334400940443379,24.71241799061111,9.394852614807528
24h,Seasonal Naive,70,1050,15.33503880969351,24.713158482039415,9.39497455575293
24h,Seasonal Naive,71,1065,15.33575064541237,24.71422844480335,9.395062619770144
24h,Seasonal Naive,72,1080,15.336266213669653,24.714693337847095,9.395122652076529
24h,Seasonal Naive,73,1095,15.337662056138942,24.715865320235594,9.395619958004364
24h,Seasonal Naive,74,1110,15.339277600990599,24.716971081574535,9.396212551671471
24h,Seasonal Naive,75,1125,15.340820644056073,24.7184585008056,9.396797013341306
24h,Seasonal Naive,76,1140,15.340870443262745,24.718510103153534,9.396747006028619
24h,Seasonal Naive,77,1155,15.343658466494954,24.72324531086569,9.398112607613575
24h,Seasonal Naive,78,1170,15.349455680024283,24.741910697815445,9.401506153786471
24h,Seasonal Naive,79,1185,15.355616134825791,24.763824977679857,9.40613960014091
24h,Seasonal Naive,80,1200,15.3616528239519,24.782969635787516,9.410947909006651
24h,Seasonal Naive,81,1215,15.367517412878492,24.804522618604434,9.416025465016247
24h,Seasonal Naive,82,1230,15.374482710740725,24.827723615109907,9.42179582074341
24h,Seasonal Naive,83,1245,15.381765844716117,24.850535248769113,9.427891900783097
24h,Seasonal Naive,84,1260,15.388166507455677,24.869774173743295,9.433307818146265
24h,Seasonal Naive,85,1275,15.393982029516874,24.88687762913658,9.438453133972311
24h,Seasonal Naive,86,1290,15.400603859321347,24.906136286216405,9.44417532263221
24h,Seasonal Naive,87,1305,15.406858786147273,24.92411981401361,9.449720380062816
24h,Seasonal Naive,88,1320,15.412134572689125,24.93841344569227,9.454502223015824
24h,Seasonal Naive,89,1335,15.416090680254237,24.947910278661745,9.45828476736013
24h,Seasonal Naive,90,1350,15.417749433241092,24.950633411512744,9.460265015611128
24h,Seasonal Naive,91,1365,15.417503366572845,24.950396083705353,9.460589606184687
24h,Seasonal Naive,92,1380,15.417869537210118,24.95047486549359,9.460985400986283
24h,Seasonal Naive,93,1395,15.418016737806301,24.950529202498533,9.461358589966462
24h,Seasonal Naive,94,1410,15.418309674316124,24.950565216869016,9.461642385812528
24h,Seasonal Naive,95,1425,15.417257299904596,24.949970378182268,9.461294642202112
24h,Seasonal Naive,96,1440,15.41733053403205,24.94997262913236,9.461366661283712
24h,Ridge,1,15,11.517214171411307,16.607644894600746,7.506268096561534
24h,Ridge,2,30,15.188634719979618,21.346779115757933,9.460823593837024
24h,Ridge,3,45,17.97944925999134,24.653899413127302,10.95521508344014
24h,Ridge,4,60,20.148531804595457,26.91467283602866,12.139458874798871
24h,Ridge,5,75,21.998059394936696,28.76526053621178,13.225847302516375
24h,Ridge,6,90,23.21256998291449,29.862719684935982,13.537875398911343
24h,Ridge,7,105,23.997253338036014,30.670958383850593,14.25146555480069
24h,Ridge,8,120,24.473466279513666,31.24700827378557,14.44516212154167
24h,Ridge,9,135,24.83405264286292,31.614893874245475,14.160382447368375
24h,Ridge,10,150,25.106537069010553,31.945608090219952,14.510370456885791
24h,Ridge,11,165,25.272295432723666,32.22240337638703,14.812674495320666
24h,Ridge,12,180,25.33712278298318,32.32799450475536,14.726459209591702
24h,Ridge,13,195,25.470375547920835,32.479334985511606,14.880822094646573
24h,Ridge,14,210,25.62041373881374,32.588112703373206,15.014677696477689
24h,Ridge,15,225,25.765351703790476,32.54187395154033,15.05510756327573
24h,Ridge,16,240,25.90482226466491,32.576615989143676,15.510239676382387
24h,Ridge,17,255,25.969073496868667,32.51018657896895,15.670382848345113
24h,Ridge,18,270,26.040987998859478,32.50493037104745,15.872408375977573
24h,Ridge,19,285,25.952643504425833,32.39700518460677,15.96423487861513
24h,Ridge,20,300,25.869489039262138,32.301260255394936,16.03818166116478
24h,Ridge,21,315,25.678334504496622,32.12751629615993,16.043849905287974
24h,Ridge,22,330,25.504888431533807,32.03743261521618,15.98471550544799
24h,Ridge,23,345,25.23648990004477,31.821972693955964,15.861410029377424
24h,Ridge,24,360,25.072108779068213,31.73348233822927,15.694013960688464
24h,Ridge,25,375,24.853785345333577,31.60387498810843,15.527400964554205
24h,Ridge,26,390,24.73364049745894,31.568316251618914,15.354328856309898
24h,Ridge,27,405,24.66756681637059,31.54768227808972,15.202747443307185
24h,Ridge,28,420,24.95271719165503,31.841724822008576,15.270002953996945
24h,Ridge,29,435,25.233155530778788,32.1617550390049,15.352850833431638
24h,Ridge,30,450,25.297150743580186,32.37770212705101,15.225091504219233
24h,Ridge,31,465,25.168173781791793,32.40069816796018,14.966614875323273
24h,Ridge,32,480,25.167821954355198,32.53516228829268,14.801769759271505
24h,Ridge,33,495,25.34386288923681,32.83386714898691,14.785039042215049
24h,Ridge,34,510,25.691332238473255,33.298852967299524,14.88084138545574
24h,Ridge,35,525,25.960994558188567,33.676767391589756,14.938100070094116
24h,Ridge,36,540,26.142173950634987,33.93007677135945,15.005724233955487
24h,Ridge,37,555,26.318134252186404,34.082862075930585,15.097396840966926
24h,Ridge,38,570,26.456325045425356,34.12752736415539,15.19938043293419
24h,Ridge,39,585,26.42576534997611,34.04730589731795,15.239964109127548
24h,Ridge,40,600,26.286999307532465,33.86775888884417,15.232036488870634
24h,Ridge,41,615,26.149213741420795,33.692600650075974,15.239090618692117
24h,Ridge,42,630,26.004881892645983,33.50214140632237,15.260544192869427
24h,Ridge,43,645,25.874810569961607,33.297677172751044,15.297116105665523
24h,Ridge,44,660,25.774463348092272,33.1353638048547,15.34617540304524
24h,Ridge,45,675,25.686046212150657,33.025118274461086,15.399490817988559
24h,Ridge,46,690,25.594252734295807,32.98350909705718,15.45941617177751
24h,Ridge,47,705,25.578961632943102,32.99816290024358,15.53766774545539
24h,Ridge,48,720,25.59145980520562,33.06940882757562,15.58676642521366
24h,Ridge,49,735,25.63084838336819,33.14315264629078,15.557500902997761
24h,Ridge,50,750,25.66623838780574,33.24107991839564,15.517026549613375
24h,Ridge,51,765,25.784535007074357,33.44058860567294,15.51948287808157
24h,Ridge,52,780,25.975238273236233,33.74442953887828,15.568074310540913
24h,Ridge,53,795,26.220979283655016,34.09062509655867,15.58758479328951
24h,Ridge,54,810,26.407386392811517,34.36578775801493,15.580333954937553
24h,Ridge,55,825,26.562935463616952,34.50358741469143,15.53188274850057
24h,Ridge,56,840,26.583672093669243,34.50278014504255,15.466760654743384
24h,Ridge,57,855,26.46013956351185,34.36802224583033,15.338923098063049
24h,Ridge,58,870,26.229365356222896,34.12985400693926,15.199375787875566
24h,Ridge,59,885,25.940094703950855,33.83866565261683,15.060468900883246
24h,Ridge,60,900,25.713384869196698,33.64973747328347,14.947583891055363
24h,Ridge,61,915,25.53572414438207,33.52783312934981,14.863418193256628
24h,Ridge,62,930,25.332888470098048,33.352369272456684,14.778837543033314
24h,Ridge,63,945,25.054122430193527,33.01104042034378,14.691706060673887
24h,Ridge,64,960,24.81945847031501,32.6606597300459,14.646027776560611
24h,Ridge,65,975,24.835642422484785,32.57225274431553,14.752277091371823
24h,Ridge,66,990,25.10908144977738,32.73743433605899,15.038241975570237
24h,Ridge,67,1005,25.38247488519423,32.924244216754396,15.284745432075987
24h,Ridge,68,1020,25.599194813857277,33.05686898871689,15.522480993531044
