horizon,horizon_steps,model,selected_alpha,MAE,RMSE,MAPE,Endpoint_MAE
1h,4,Naive,,16.970033328909896,27.091910206668164,10.377394537311325,21.55712652444582
1h,4,Seasonal Naive,,15.395149735833215,24.912657171654082,9.44336761947767,15.394527963181439
1h,4,Ridge,0.1,16.24129202168342,22.75976637262107,10.03343102511368,20.18017653171064
24h,96,Naive,,75.09262485375143,96.86696196918861,44.86676747565587,15.41733053403205
24h,96,Seasonal Naive,,15.326553941829356,24.723412774018072,9.399252081899876,15.41733053403205
24h,96,Ridge,0.1,24.380781389541628,31.952616457658316,14.574503789061271,14.383238122519169
