horizon,horizon_steps,model,MAE,RMSE,MAPE,Endpoint_MAE,improvement_vs_seasonal_pct
1h,4,Naive,16.970033328909896,27.091910206668164,10.377394537311325,21.55712652444582,
1h,4,Seasonal Naive,15.395149735833215,24.912657171654082,9.44336761947767,15.394527963181439,
1h,4,Ridge,16.24129202168342,22.75976637262107,10.03343102511368,20.18017653171064,
1h,4,LightGBM,12.691338758178823,18.213296239836353,8.867489047016818,13.460910818126367,17.56274556629414
24h,96,Naive,75.09262485375143,96.86696196918861,44.86676747565587,15.41733053403205,
24h,96,Seasonal Naive,15.326553941829356,24.723412774018072,9.399252081899876,15.41733053403205,
24h,96,Ridge,24.380781389541628,31.952616457658316,14.574503789061271,14.383238122519169,
24h,96,LightGBM,18.09180027339589,26.73778331148012,12.25631247923121,14.650246962935213,-18.04219227663174
