horizon,alpha,validation_MAE,selected
1h,0.1,17.450013346322844,True
1h,1.0,17.450059146722904,False
1h,10.0,17.45052891573091,False
1h,100.0,17.456270881716677,False
24h,0.1,26.064851179724247,True
24h,1.0,26.064987927403532,False
24h,10.0,26.066368818321354,False
24h,100.0,26.08110988618945,False
