scenario,scenario_kind,forecast_origin,horizon,horizon_steps,selected_model,affected_points,imputed_points,mae,rmse,mape,clean_mae,mae_delta,mae_degradation_pct
clean,clean,2014-12-31T23:00:00,1h,4,LightGBM,0,0,3.3388999951923246,3.5949747291130376,3.3298842859063016,3.3388999951923246,0.0,0.0
sensor_noise_5pct,sensor_noise,2014-12-31T23:00:00,1h,4,LightGBM,140252,0,2.295744302791835,2.7194459790369057,2.322109872208337,3.3388999951923246,-1.0431556924004894,-31.242495849007973
missing_blocks_1pct,missing_blocks,2014-12-31T23:00:00,1h,4,LightGBM,1394,1394,3.709982491322286,3.9082192821281727,3.695742593747468,3.3388999951923246,0.37108249612996147,11.113914662442195
spikes_1pct,spikes,2014-12-31T23:00:00,1h,4,LightGBM,1403,0,3.3471765440803196,4.764149863011909,3.403920240766721,3.3388999951923246,0.008276548887995006,0.24788250321699937
distribution_shift_10pct,distribution_shift,2014-12-31T23:00:00,1h,4,LightGBM,28051,0,9.527986890308362,10.693793796348112,9.625134556935985,3.3388999951923246,6.189086895116038,185.3630508259514
